ش. سوال	ش. عبارت	گزینه	نتیجه	عبارت
13	26	ب	E	"در مهماني ها، جلسات وگردهمايی ها من سر صحبت را با ديگران باز می کنم."
14	27	الف	S	به جزئيات امور توجه زيادی دارم.
14	28	ب	N	بيشتر کليت هر موضوعی برايم مهم است و به جزئيات آن توجه زيادی نمی کنم.
15	29	الف	T	به آينده اهميت زيادی داده و  برای آن برنامه ريزی می کنم.
15	30	ب	F	خيلی به آينده فکر نمی کنم.
16	31	الف	P	معمولاً کارها را شروع می کنم و حين اجرا به رفع اشکالات اجرايی وتدارک مورد نياز می پردازم.
16	32	ب	J	قبل از اجرای طرح ها وکارها برنامه ريزی  انجام می دهم.
17	33	الف	I	مايل هستم دوستان کم همراه با ارتباط زياد و صميمانه داشته باشم.
17	34	ب	E	مايل هستم دوستان زياد همراه با ارتباط محدود داشته باشم.
18	35	الف	S	به استفاده از امکانات و توانايی های موجود تاکيد دارم.
18	36	ب	N	نوآوری و خلاقيت داشتن در کارها برايم اولويت دارد.
19	37	الف	T	بيشتر پيرو منطق و دليل هستم.
19	38	ب	F	بيشتر پيرو احساس و عاطفه هستم. 
20	39	الف	P	"در انجام کارهايی که از قبل پيش بينی نشده و يا فعاليت هايی که به سرعت و عکس العمل فوری نياز دارد، موفق هستم."
20	40	ب	J	در انجام کارهايی که بر اساس طرح و برنامه قبلی مي باشد موفق هستم.
21	41	الف	I	به طور معمول دوستان کمی داشته ولي روابط صميمانه ای با آنها دارم.
21	42	ب	E	به طور معمول با افراد زيادی دوستی و آشنايی دارم.
22	43	الف	S	عمدتا از زندگی در زمان حال لذت زيادی برده و خيلي به آينده فکر نمی کنم.
22	44	ب	N	به آينده توجه زيادي داشته و آن را پيش بيني مي کنم.
23	45	الف	T	معمولا مغز من بر قلب من حاکم است.
23	46	ب	F	معمولا قلب من بر مغز من حاکم است.
24	47	الف	P	معمولاً در کارهای روزانه مايلم بر حسب ضرورتها و فوريت هايی که پيش می آيد عمل کنم.
24	48	ب	J	معمولاً در کارهاي روزانه مايلم که طبق برنامه عمل کنم.
25	49	الف	I	از احساسات و عواطف درونی خود کمتر با ديگران صحبت می کنم.
25	50	ب	E	افکار و عواطف خود را آزاد و راحت بيان می کنم.
26	51	الف	S	کلمات مشخص و دقيق را ترجيح داده و بکار مي برم.
26	52	ب	N	کلمات تمثيلی و کنايه ای را ترجيح داده و بکار می برم.
27	53	الف	T	در تصميم گيری ها رعايت عدالت و انصاف از همه چيز برايم مهم تر است.
27	54	ب	F	در تصميم گيری ها رعايت حال و شرايط ديگران از همه چيز برايم مهم تر است. 
28	55	الف	P	معمولاً کارها را شروع می کنم و در حين اجرا به رفع مشکلات پيش آمده می پردازم.
28	56	ب	J	معمولاً قبل از شروع کارها مقدمات کار را آماده و مشکلات را پيش بينی می کنم. 
29	57	الف	I	کارهای فردی را ترجيح می دهم.
29	58	ب	E	کارهای گروهی را ترجيح می دهم.
30	59	الف	S	واقعيات ( آنچه که هست ) و پديده ها برايم جالب اند.
30	60	ب	N	حقايق ( آنچه که بايد باشد) و ايده ها برايم جالب اند.
31	61	الف	T	برای عدل و انصاف ارزش زيادی قائلم.
31	62	ب	F	برای بذل و بخشش ارزش زيادی قائلم.
32	63	الف	P	تهيه فهرست از کار هايی که بايد در روز تعطيل انجام داد را کاری بيهوده و عبث می دانم.
32	64	ب	J	تهيه فهرست از کارهايی که بايد در روز تعطيل انجام داد را کاری جدی و سودمند می دانم.
33	65	الف	I	معمولاً در مهمانی ها و مجالس با شخص يا اشخاصی که از قبل می شناسم گفتگو می کنم.
33	66	ب	E	معمولاً در مهمانی ها و مجالس به دنبال اشخاص جديدی هستم تا با آنها گفتگو کرده و آشنا شوم.
34	67	الف	S	دوستان من اکثراً واقع گرا و واقع بين هستند.
34	68	ب	N	دوستان من اکثراً کسانی هستند که قوه تخيل قوی دارند.
35	69	الف	T	"به نظر من فردی که با دلايل و استدلال با موضوعات برخورد می کند، بهتر است."
35	70	ب	F	"به نظر من فردی که با عاطفه و احساس واقعی و دلسوزی با موضوعات برخورد می کند، بهتر است."
36	71	الف	P	غالباً خود را ملزم به انجام کارها در سر وقت معين و مشخص ندانسته و خود را در محدوده زمان مقيد نمی کنم.
36	72	ب	J	غالباً برنامه خود را  به طور مشخص و دقيق تعيين کرده و بر انجام آنها در سر وقت مقرر اصرار می ورزم.
37	73	الف	I	آرام و متفکر هستم.
37	74	ب	E	با نشاط و فعال هستم.
38	75	الف	S	دوست دارم فردی واقع گرا و دقيق باشم.
38	76	ب	N	دوست دارم فردی مبتکر و خلاق باشم.
39	77	الف	T	به تجزيه وتحليل موضوعات علاقه دارم.
39	78	ب	F	"به فيلم ها و بحث های عاطفی که به مسائل انسانی می پردازند، علاقه دارم."
40	79	الف	P	"معمولاً زندگی خود را با توجه به اوضاع واحوالی که پيش مي آيد ، تنظيم و اداره می کنم."
40	80	ب	J	معمولاً کارهايی را که مايل به انجام آن هستم يادداشت کرده يا حداقل به طور مرتب به خاطر می سپارم.
41	81	الف	I	کم حرف هستم.
41	82	ب	E	خوش صحبت هستم.
42	83	الف	S	هر ايده جديدی را اگر قابل اجرا باشد می پذيرم.
42	84	ب	N	براي هر ايده جديدی به دليل نو بودن آن (بدون توجه به اجرايی بودن يا نبودن آن) ارزش زيادی قائل هستم. 
43	85	الف	T	دوست دارم فردی متفکر باشم که عاقلانه رفتار می کند.
43	86	ب	F	دوست دارم فردی عاطفی باشم که با احساسات انسانی رفتار می کند.
44	87	الف	P	بعضی افراد مرا آدمی بی نظم و دارای زندگی شلوغ می دانند.
44	88	ب	J	بعضی افراد مرا آدمی خشک و غير قابل انعطاف می دانند.
45	89	الف	I	"پس از مکث و تأمل کافی، نسبت به بحث يا سؤالات مطرح شده  اظهار نظر مي کنم."
45	90	ب	E	در هر لحظه که فرصت شد سؤالات را مطرح يا نظر خود را اعلام می کنم.
46	91	الف	S	ثبات و استحکام را دوست دارم.
46	92	ب	N	تغيير و انعطاف را دوست دارم.
47	93	الف	T	بيشتر از نتيجه گيری های منطقی و استدلال استفاده می کنم.
47	94	ب	F	بيشتر بر اساس عواطف و عقايد شخصی نسبت به زندگی يا افراد عمل می کنم.
48	95	الف	P	هر وقت که مناسب بود و فرصت دست داد نسبت به انجام کارها آزادانه و بدون فشار اقدام می کنم.
48	96	ب	J	اين مهم است که از قبل بدانم چه کاری يا چه چيزی از من انتظار دارند تا به انجام آنها بپردازم.
49	97	الف	I	ترجيح می دهم در جمع افراد توسط فرد ديگری معرفی شوم.
49	98	ب	E	"معمولاً در جمع، ديگران را به يکديگر معرفی می کنم."
50	99	الف	S	"تلاش می کنم با رعايت ترتيب، مراحل پيش بينی شده کارها را انجام دهم."
50	100	ب	N	هنگام انجام دادن کارها از قسمت های بی اهميت آن صرف نظر می کنم.
51	101	الف	T	"نسبت به هر گروه يا افراد سازمانی که با آنها کار می کنم ، براساس تجزيه وتحليل دقيق اوضاع و اطلاعات موجود اظهار نظر می کنم "
51	102	ب	F	"نسبت به هر گروه يا افراد سازمانی که با آنها کار می کنم ، براساس درک نيازهايشان، عواطف انسانی و خود را به جاي آنها گذاشتن اظهار نظر می کنم."
52	103	الف	P	معمولاً بدون فوت وقت يک کار يا پروژه را شروع و به هر قسمتی از آن که ممکن باشد زودتر می پردازم.
52	104	ب	J	معمولاً در انجام کارها آنها را به اجزاي مشخص تقسيم کرده وسپس به ترتيب به انجام بخش های مشخص شده می پردازم.
53	105	الف	I	به کارهای فردی ( يا حداکثر با يکی دو نفر ديگر ) علاقمندم.
53	106	ب	E	به کارهای گروهی علاقمندم.
54	107	الف	S	"يکي از اشکالات اساسی زندگی من، يکنواختی وچسبيدن به برنامه و کار مشخص بوده است."
54	108	ب	N	يکي از اشکالات اساسی زندگی من از شاخه ای به شاخه ای پريدن و داشتن برنامه های متعدد بوده است.
55	109	الف	T	قاطع بودن برای من الويت است. 
55	110	ب	F	ملايم و احساسی بودن برای من الويت است. 
56	111	الف	P	علاقمندم جلسات و گردهمايی ها هنگامی شروع شود که همگی افراد حضور و آمادگی لازم را داشته و احساس راحتي کنند.
56	112	ب	J	علاقه‌مندم جلسات رأس ساعت مقرر شروع شود و روي وقت‌شناسی تأکيد دارم.
57	113	الف	I	از نظر ديگران ممکن است تا حدی گوشه گير به نظر برسم.
57	114	ب	E	از نظر ديگران ممکن است  فردی  خوش صحبت به نظر برسم.
58	115	الف	S	کارها را با نظم و ترتيب و مرحله به مرحله انجام می دهم.
58	116	ب	N	قسمت های مهم و جالب کار را زودتر انجام می دهم.
59	117	الف	T	رعايت اصول و قوانين برايم بسيار مهم است.
59	118	ب	F	مهربانی و گذشت در زندگی برايم بسيار مهم است.
60	119	الف	P	مقيد بودن به برنامه ای که از قبل مشخص شده باشد براي من جالب نيست.
60	120	ب	J	از انجام دادن کارهايی که از قبل مشخص شده باشد احساس رضايت دارم.
