ش. سوال,ش. عبارت,,عبارت,نتیجه,,f,j,,,,,,,,
31,61,,                            برای عدل و انصاف ارزش زيادی قائلم.,T,0,0,,,,,,,question_60 J,,J
31,62,,                            برای بذل و بخشش ارزش زيادی قائلم.,F,1,0,,,,,,,,,
32,63,,                            تهيه فهرست از کار هايی که بايد در روز تعطيل انجام داد را کاری بيهوده و عبث می دانم.,P,0,0,,,,,,,,,
32,64,,                            تهيه فهرست از کارهايی که بايد در روز تعطيل انجام داد را کاری جدی و سودمند می دانم.,J,1,0,,,,,,,,,
33,65,,                            معمولاً در مهمانی ها و مجالس با شخص يا اشخاصی که از قبل می شناسم گفتگو می کنم.,I,0,0,,,,,,,,,
33,66,,                            معمولاً در مهمانی ها و مجالس به دنبال اشخاص جديدی هستم تا با آنها گفتگو کرده و آشنا شوم.,E,1,0,,,,,,,,,
34,67,,                            دوستان من اکثراً واقع گرا و واقع بين هستند.,S,0,0,,,,,,,,,
34,68,,                            دوستان من اکثراً کسانی هستند که قوه تخيل قوی دارند.,N,1,0,,,,,,,,,
35,69,,"                            به نظر من فردی که با دلايل و استدلال با موضوعات برخورد می کند، بهتر است.",T,0,0,,,,,,,,,
35,70,,"                            به نظر من فردی که با عاطفه و احساس واقعی و دلسوزی با موضوعات برخورد می کند، بهتر است.",F,1,0,,,,,,,,,
36,71,,                            غالباً خود را ملزم به انجام کارها در سر وقت معين و مشخص ندانسته و خود را در محدوده زمان مقيد نمی کنم.,P,0,0,,,,,,,,,
36,72,,                            غالباً برنامه خود را  به طور مشخص و دقيق تعيين کرده و بر انجام آنها در سر وقت مقرر اصرار می ورزم.,J,1,0,,,,,,,,,
37,73,,                            آرام و متفکر هستم.,I,0,0,,,,,,,,,
37,74,,                            با نشاط و فعال هستم.,E,1,0,,,,,,,,,
38,75,,                            دوست دارم فردی واقع گرا و دقيق باشم.,S,0,0,,,,,,,,,
38,76,,                            دوست دارم فردی مبتکر و خلاق باشم.,N,1,0,,,,,,,,,
39,77,,                            به تجزيه وتحليل موضوعات علاقه دارم.,T,0,0,,,,,,,,,
39,78,,"                            به فيلم ها و بحث های عاطفی که به مسائل انسانی می پردازند، علاقه دارم.",F,1,0,,,,,,,,,
40,79,,"                            معمولاً زندگی خود را با توجه به اوضاع واحوالی که پيش مي آيد ، تنظيم و اداره می کنم.",P,0,0,,,,,,,,,
40,80,,                            معمولاً کارهايی را که مايل به انجام آن هستم يادداشت کرده يا حداقل به طور مرتب به خاطر می سپارم.,J,1,0,,,,,,,,,
41,81,,                            کم حرف هستم.,I,0,0,,,,,,,,,
41,82,,                            خوش صحبت هستم.,E,1,0,,,,,,,,,
42,83,,                            هر ايده جديدی را اگر قابل اجرا باشد می پذيرم.,S,0,0,,,,,,,,,
42,84,,                            براي هر ايده جديدی به دليل نو بودن آن (بدون توجه به اجرايی بودن يا نبودن آن) ارزش زيادی قائل هستم. ,N,1,0,,,,,,,,,
43,85,,                            دوست دارم فردی متفکر باشم که عاقلانه رفتار می کند.,T,0,0,,,,,,,,,
43,86,,                            دوست دارم فردی عاطفی باشم که با احساسات انسانی رفتار می کند.,F,1,0,,,,,,,,,
44,87,,                            بعضی افراد مرا آدمی بی نظم و دارای زندگی شلوغ می دانند.,P,0,0,,,,,,,,,
44,88,,                            بعضی افراد مرا آدمی خشک و غير قابل انعطاف می دانند.,J,1,0,,,,,,,,,
45,89,,"                            پس از مکث و تأمل کافی، نسبت به بحث يا سؤالات مطرح شده  اظهار نظر مي کنم.",I,0,0,,,,,,,,,
45,90,,                            در هر لحظه که فرصت شد سؤالات را مطرح يا نظر خود را اعلام می کنم.,E,1,0,,,,,,,,,
46,91,,                            ثبات و استحکام را دوست دارم.,S,0,0,,,,,,,,,
46,92,,                            تغيير و انعطاف را دوست دارم.,N,1,0,,,,,,,,,
47,93,,                            بيشتر از نتيجه گيری های منطقی و استدلال استفاده می کنم.,T,0,0,,,,,,,,,
47,94,,                            بيشتر بر اساس عواطف و عقايد شخصی نسبت به زندگی يا افراد عمل می کنم.,F,1,0,,,,,,,,,
48,95,,                            هر وقت که مناسب بود و فرصت دست داد نسبت به انجام کارها آزادانه و بدون فشار اقدام می کنم.,P,0,0,,,,,,,,,
48,96,,                            اين مهم است که از قبل بدانم چه کاری يا چه چيزی از من انتظار دارند تا به انجام آنها بپردازم.,J,1,0,,,,,,,,,
49,97,,                            ترجيح می دهم در جمع افراد توسط فرد ديگری معرفی شوم.,I,0,0,,,,,,,,,
49,98,,"                            معمولاً در جمع، ديگران را به يکديگر معرفی می کنم.",E,1,0,,,,,,,,,
50,99,,"                            تلاش می کنم با رعايت ترتيب، مراحل پيش بينی شده کارها را انجام دهم.",S,0,0,,,,,,,,,
50,100,,                            هنگام انجام دادن کارها از قسمت های بی اهميت آن صرف نظر می کنم.,N,1,0,,,,,,,,,
51,101,,"                            نسبت به هر گروه يا افراد سازمانی که با آنها کار می کنم ، براساس تجزيه وتحليل دقيق اوضاع و اطلاعات موجود اظهار نظر می کنم ",T,0,0,,,,,,,,,
51,102,,"                            نسبت به هر گروه يا افراد سازمانی که با آنها کار می کنم ، براساس درک نيازهايشان، عواطف انسانی و خود را به جاي آنها گذاشتن اظهار نظر می کنم.",F,1,0,,,,,,,,,
52,103,,                            معمولاً بدون فوت وقت يک کار يا پروژه را شروع و به هر قسمتی از آن که ممکن باشد زودتر می پردازم.,P,0,0,,,,,,,,,
52,104,,                            معمولاً در انجام کارها آنها را به اجزاي مشخص تقسيم کرده وسپس به ترتيب به انجام بخش های مشخص شده می پردازم.,J,1,0,,,,,,,,,
53,105,,                            به کارهای فردی ( يا حداکثر با يکی دو نفر ديگر ) علاقمندم.,I,0,0,,,,,,,,,
53,106,,                            به کارهای گروهی علاقمندم.,E,1,0,,,,,,,,,
54,107,,"                            يکي از اشکالات اساسی زندگی من، يکنواختی وچسبيدن به برنامه و کار مشخص بوده است.",S,0,0,,,,,,,,,
54,108,,                            يکي از اشکالات اساسی زندگی من از شاخه ای به شاخه ای پريدن و داشتن برنامه های متعدد بوده است.,N,1,0,,,,,,,,,
55,109,,                            قاطع بودن برای من الويت است. ,T,0,0,,,,,,,,,
55,110,,                            ملايم و احساسی بودن برای من الويت است. ,F,1,0,,,,,,,,,
56,111,,                            علاقمندم جلسات و گردهمايی ها هنگامی شروع شود که همگی افراد حضور و آمادگی لازم را داشته و احساس راحتي کنند.,P,0,0,,,,,,,,,
56,112,,                            علاقه‌مندم جلسات رأس ساعت مقرر شروع شود و روي وقت‌شناسی تأکيد دارم.,J,1,0,,,,,,,,,
57,113,,                            از نظر ديگران ممکن است تا حدی گوشه گير به نظر برسم.,I,0,0,,,,,,,,,
57,114,,                            از نظر ديگران ممکن است  فردی  خوش صحبت به نظر برسم.,E,1,0,,,,,,,,,
58,115,,                            کارها را با نظم و ترتيب و مرحله به مرحله انجام می دهم.,S,0,0,,,,,,,,,
58,116,,                            قسمت های مهم و جالب کار را زودتر انجام می دهم.,N,1,0,,,,,,,,,
59,117,,                            رعايت اصول و قوانين برايم بسيار مهم است.,T,0,0,,,,,,,,,
59,118,,                            مهربانی و گذشت در زندگی برايم بسيار مهم است.,F,1,0,,,,,,,,,
60,119,,                            مقيد بودن به برنامه ای که از قبل مشخص شده باشد براي من جالب نيست.,P,0,0,,,,,,,,,
60,120,,                            از انجام دادن کارهايی که از قبل مشخص شده باشد احساس رضايت دارم.,J,1,0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
